"id","identificador","ubicacion","latitud","longitud","municipio_id","provincia_id","id_departamento","municipio","provincia","departamento"
"492","BUE114-01","","-34.446231","-58.559798","BUE114","AR-B","1309","San Fernando","Buenos Aires","San Fernando"
"1207","SFE011-01","","0.000000","0.000000","SFE011","AR-S","1689","Angélica","Santa Fe","Castellanos"
"304","SFE056-01","","0.000000","0.000000","SFE056","AR-S","1696","Carrizales","Santa Fe","Iriondo"
"582","SFE101-01","","-31.095213","-61.629236","SFE101","AR-S","1689","Egusquiza","Santa Fe","Castellanos"
"332","CHA018-01","","-24.427222","-61.682250","CHA018","AR-H","1358","El Sauzalito","Chaco","General Güemes"
"1001","CHU009-01","Punto Digital","-45.861105","-67.525316","CHU009","AR-U","1373","Comodoro Rivadavia","Chubut","Escalante"
"538","ERI004-01","Complejo Deportivo Municipal","-32.245973","-60.160861","ERI004","AR-E","1435","Aranguren","Entre Ríos","Nogoya"
"308","CHA041-01","","-27.048917","-58.682639","CHA041","AR-H","1360","Las Palmas","Chaco","Bermejo"
"1046","SLU044-01","","0.000000","0.000000","SLU044","AR-D","1603","Papagayos","San Luis","Chacabuco"
"1252","NEU027-01","","0.000000","0.000000","NEU027","AR-Q","1559","Paso Aguerre","Neuquén","Picun Leufu"
"420","COR035-01","Plaza Municipio VSAT","-28.047605","-58.230379","COR035","AR-W","1429","Mburucuyá","Corrientes","Mburucuya"
"906","RNO070-01","","-40.749944","-63.266500","RNO070","AR-R","1573","San Javier","Río Negro","Adolfo Alsina"
"1197","SFE336-01","","0.000000","0.000000","SFE336","AR-S","1701","Tostado","Santa Fe","Nueve de Julio"
"954","BUE097-01","PD Valeria del Mar","-37.136644","-56.909730","BUE097","AR-B","1292","Pinamar","Buenos Aires","Pinamar"
"214","BUE097-02","Punto Digital","-37.136682","-56.909202","BUE097","AR-B","1292","Pinamar","Buenos Aires","Pinamar"
"1284","CBA066-01","","0.000000","0.000000","CBA066","AR-X","1401","Chañar Viejo","Córdoba","Rio Seco"
"258","SFE305-01","PD Santa FE","-31.592908","-60.699124","SFE305","AR-S","1694","Santa Fe","Santa Fe","La Capital"
"193","SFE305-02","Santa FE - Jardin Botanico","-31.586957","-60.707035","SFE305","AR-S","1694","Santa Fe","Santa Fe","La Capital"
"194","SFE305-03","Santa Fe Capital - Jardín Barranquitas","-31.626676","-60.720780","SFE305","AR-S","1694","Santa Fe","Santa Fe","La Capital"
"192","SFE305-04","Santa Fe Capital Plaza Alberdi","-31.648340","-60.704655","SFE305","AR-S","1694","Santa Fe","Santa Fe","La Capital"
